state_code,precinct,n_elections,years_available,pri_mean,pri_sd,pan_mean,pan_sd,prd_mean,prd_sd,turnout_mean,turnout_sd,margin_mean,margin_sd,max_registered,n_distinct_incumbents,state,mun,mun_code,year_pre2015,incumbent_party_pre2015,runnerup_party_pre2015,incumbent_party_vote_pre2015,runnerup_party_vote_pre2015,share_incumbent_party_valid_vote_pre2015,share_runnerup_party_valid_vote_pre2015,mun_winning_margin_pre2015,PRI_vote_pre2015,share_PRI_valid_vote_pre2015,PAN_vote_pre2015,share_PAN_valid_vote_pre2015,PRD_vote_pre2015,share_PRD_valid_vote_pre2015,MORENA_vote_pre2015,share_MORENA_valid_vote_pre2015,valid_pre2015,total_pre2015,registered_voters_pre2015,turnout_pre2015,year_post2015,share_PRI_valid_vote_post2015,share_PAN_valid_vote_post2015,share_PRD_valid_vote_post2015,turnout_post2015
8.0,1547.0,5,2007;2010;2013;2016;2018,0.600884650843267,0.1175972947535779,0.2557487289258094,0.0790795025051842,0.0205938190315251,0.012493573478866,0.2910017819266287,0.1096900672585052,0.1683584851,0.050264004739168,2640.0,4,CHIHUAHUA,JUAREZ,8037.0,2013.0,PRI_PVEM_PANAL,PAN,344.0,148.0,0.6628131021194605,0.2851637764932562,0.1481737991,344.0,0.6628131021194605,148.0,0.2851637764932562,19.0,0.0366088631984585,,,519.0,540.0,2372.0,0.2276559865092748,2016.0,0.4290822407628128,0.1394517282479142,0.0178784266984505,0.3884261288908374
8.0,1635.0,5,2007;2010;2013;2016;2018,0.4126905373527363,0.1230754357794466,0.4496729013504534,0.1429046264371749,0.0094591586028617,0.0014651455262053,0.3941600430391332,0.1016734908566875,0.1683584851,0.050264004739168,1129.0,4,CHIHUAHUA,JUAREZ,8037.0,2013.0,PRI_PVEM_PANAL,PAN,147.0,129.0,0.5231316725978647,0.4590747330960854,0.1481737991,147.0,0.5231316725978647,129.0,0.4590747330960854,3.0,0.0106761565836298,,,281.0,288.0,868.0,0.3317972350230415,2016.0,0.2572254335260115,0.2572254335260115,,0.4748299319727891
8.0,1694.0,5,2007;2010;2013;2016;2018,0.3450069025420662,0.1173804415543565,0.4927327361733229,0.1349185741829814,0.0139169517177136,0.0087673434842224,0.4417037028247261,0.130482531565172,0.1683584851,0.050264004739168,5823.0,4,CHIHUAHUA,JUAREZ,8037.0,2013.0,PRI_PVEM_PANAL,PAN,697.0,962.0,0.4021927293710329,0.5551067512983267,0.1481737991,697.0,0.4021927293710329,962.0,0.5551067512983267,32.0,0.0184650894402769,,,1733.0,1787.0,5268.0,0.339217919514047,2016.0,0.1790722761596548,0.2937792161093132,0.0089895720963682,0.5535084280674245
8.0,2516.0,5,2007;2010;2013;2016;2018,0.4369261538111597,0.1956230754071394,0.3335179112781893,0.118648627048406,0.2116028207014329,0.1912403514100593,0.4530822733923044,0.0804168949965097,0.10560817794,0.073170513341685,1201.0,3,CHIHUAHUA,PRAXEDIS G. GUERRERO,8053.0,2013.0,PAN,PRI_PVEM_PANAL,140.0,,0.3070175438596491,,0.0050951087,233.0,0.5109649122807017,140.0,0.3070175438596491,79.0,0.1732456140350877,,,456.0,474.0,917.0,0.5169029443838604,2016.0,0.2650273224043716,0.2404371584699453,0.4726775956284153,0.5133333333333333
8.0,2517.0,5,2007;2010;2013;2016;2018,0.5287130047892902,0.1172038302500318,0.1698503953890474,0.0565766940938734,0.2796067401565367,0.18192438085189,0.5023255116494031,0.0488728750875656,0.10560817794,0.073170513341685,690.0,3,CHIHUAHUA,PRAXEDIS G. GUERRERO,8053.0,2013.0,PAN,PRI_PVEM_PANAL,31.0,,0.1099290780141844,,0.0050951087,136.0,0.4822695035460992,31.0,0.1099290780141844,112.0,0.3971631205673759,,,282.0,288.0,548.0,0.5255474452554745,2016.0,0.5338983050847458,0.1652542372881356,0.2711864406779661,0.5365853658536586
8.0,2929.0,5,2007;2010;2013;2016;2018,0.5225141192336169,0.1754028609119802,0.2834594685469657,0.1234119283799037,0.0140526554998175,0.0077069940476634,0.3160663766378319,0.0655421387586246,0.1683584851,0.050264004739168,2359.0,4,CHIHUAHUA,JUAREZ,8037.0,2013.0,PRI_PVEM_PANAL,PAN,260.0,124.0,0.6356968215158925,0.3031784841075794,0.1481737991,260.0,0.6356968215158925,124.0,0.3031784841075794,10.0,0.0244498777506112,,,409.0,423.0,1689.0,0.2504440497335701,2016.0,0.2633996937212863,0.1041347626339969,0.007656967840735,0.3489208633093525
10.0,280.0,4,2007;2010;2013;2016,0.3515664982111383,0.186539421547288,0.2824172811747907,0.0914013153809045,0.1440375013021968,0.1099636697028411,0.4968859806373775,0.0837446527122721,0.083683752275,0.0528891590712694,1921.0,1,DURANGO,DURANGO,10005.0,2013.0,PRI,PAN_PRD_PC,319.0,,0.4436717663421418,,0.0466283309,319.0,0.4436717663421418,257.0,0.3574408901251738,33.0,0.0458970792767733,,,719.0,737.0,1675.0,0.44,2016.0,0.0783321282236683,0.1506387081224391,0.1506387081224391,0.5799062988027069
10.0,371.0,4,2007;2010;2013;2016,0.3740720968871419,0.1871448341113662,0.2672051336642487,0.1103633650777251,0.1442891394345815,0.1309573572589427,0.5124765556477462,0.068350785343135,0.083683752275,0.0528891590712694,1152.0,1,DURANGO,DURANGO,10005.0,2013.0,PRI,PAN_PRD_PC,198.0,,0.4864864864864865,,0.0466283309,198.0,0.4864864864864865,154.0,0.3783783783783784,27.0,0.0663390663390663,,,407.0,431.0,955.0,0.4513089005235602,2016.0,0.0944490472245236,0.1325600662800331,0.1325600662800331,0.5477430555555556
10.0,1205.0,4,2007;2010;2013;2016,0.3978519662998277,0.1976238633144617,0.3970656282666908,0.1803236955094431,0.1728250542139917,0.2549822209235652,0.5535840925911328,0.0223235436036389,0.0531386419,0.0349630770539952,1228.0,3,DURANGO,SANTIAGO PAPASQ,10032.0,2013.0,PRD,PRI_PVEM_PANAL_PD,4.0,339.0,0.006677796327212,0.5659432387312187,0.0140023337,339.0,0.5659432387312187,256.0,0.4273789649415693,4.0,0.006677796327212,,,599.0,611.0,1108.0,0.5514440433212996,2016.0,0.1124314442413162,0.1361974405850091,0.1361974405850091,0.5810276679841897
10.0,1207.0,4,2007;2010;2013;2016,0.4304689795444978,0.2109200276297632,0.3446589282020101,0.1699880923976815,0.1604887692003053,0.2258451588794096,0.5740091758086033,0.0202305262453811,0.0531386419,0.0349630770539952,2699.0,3,DURANGO,SANTIAGO PAPASQ,10032.0,2013.0,PRD,PRI_PVEM_PANAL_PD,45.0,872.0,0.0321658327376697,0.6233023588277341,0.0140023337,872.0,0.6233023588277341,482.0,0.3445318084345961,45.0,0.0321658327376697,,,1399.0,1445.0,2494.0,0.5793905372894947,2016.0,0.1297222701397274,0.1067793686389511,0.1067793686389511,0.5739162652834383
